"","red","green","blue","x","y","target"
"1",36.4897351789068,24.4054722300481,27.0118818856843,-42.8132769548838,-20.4046253884594,"Solo"
"2",136.660870092419,93.5735793708456,102.578663193925,-42.8132769548838,-20.4046255234594,"Solo"
"3",40.2950842131867,24.3760385981006,27.6095947386649,-42.8132768108838,-20.4046255234594,"Solo"
"4",138.254603065669,96.8030712597629,105.862626961519,-42.8132769548838,-20.4046256584594,"Solo"
"5",148.939619800803,96.373986321628,108.507747363226,-42.8132768108838,-20.4046256584594,"Solo"
"6",46.4588888433218,33.0224570549749,35.0357536086332,-42.8132766668838,-20.4046256584594,"Solo"
"7",45.4435636459984,29.1165347911487,35.9194634806694,-42.8132765228838,-20.4046256584594,"Solo"
"8",156.338470172142,101.875275736713,117.818479566168,-42.8132769548838,-20.4046257934594,"Solo"
"9",160.796477900989,119.174795242299,133.904512025288,-42.8132768108838,-20.4046257934594,"Solo"
"10",158.923453939614,112.418140462541,121.681793539831,-42.8132766668838,-20.4046257934594,"Solo"
"11",152.399183233023,99.6236816307644,122.317388449087,-42.8132765228838,-20.4046257934594,"Solo"
"12",44.0929618662355,30.1538965020707,34.7054280495531,-42.8132763788838,-20.4046257934594,"Solo"
"13",179.431273438958,134.592101413902,149.329603735131,-42.8132769548838,-20.4046259284594,"Solo"
"14",175.158256779791,125.217235498445,143.588422779943,-42.8132768108838,-20.4046259284594,"Solo"
"15",157.647564987565,108.702398113383,126.047934075351,-42.8132766668838,-20.4046259284594,"Solo"
"16",155.615280633184,110.617957476923,128.634322652207,-42.8132765228838,-20.4046259284594,"Solo"
"17",148.029060516305,102.575905109318,116.570526808784,-42.8132763788838,-20.4046259284594,"Solo"
"18",42.7742583965637,29.7043461087248,34.1599980250335,-42.8132762348838,-20.4046259284594,"Solo"
"19",193.963533349701,151.031943825232,165.354681996449,-42.8132769548838,-20.4046260634594,"Solo"
"20",171.476962054915,125.573588678589,140.877022807155,-42.8132768108838,-20.4046260634594,"Solo"
"21",166.021907520758,114.009628692022,135.648403483018,-42.8132766668838,-20.4046260634594,"Solo"
"22",169.192187632213,128.832548317473,137.976196630715,-42.8132765228838,-20.4046260634594,"Solo"
"23",167.414337676004,120.490476338874,135.616890385265,-42.8132763788838,-20.4046260634594,"Solo"
"24",144.431546443314,103.825756927716,114.863041540685,-42.8132762348838,-20.4046260634594,"Solo"
"25",56.7260267936605,41.337584992965,46.1876001457437,-42.8132760908838,-20.4046260634594,"Solo"
"26",58.5186316645645,42.1205535607579,49.5157652546315,-42.8132759468838,-20.4046260634594,"Solo"
"27",142.815061531543,95.9885123940634,103.067295691685,-42.8132772428838,-20.4046261984594,"Solo"
"28",150.679953992035,110.925090661116,126.353946502843,-42.8132770988838,-20.4046261984594,"Solo"
"29",176.913685886833,126.266907130273,150.260152698701,-42.8132769548838,-20.4046261984594,"Solo"
"30",162.383836144611,125.329347293779,137.489675531453,-42.8132768108838,-20.4046261984594,"Solo"
"31",166.704454103908,120.993952356155,139.078972654648,-42.8132766668838,-20.4046261984594,"Solo"
"32",180.140491001268,132.571510809358,147.69415256043,-42.8132765228838,-20.4046261984594,"Solo"
"33",182.568729717401,135.457072872619,157.816131642436,-42.8132763788838,-20.4046261984594,"Solo"
"34",171.434055117417,127.320759806039,137.785053469683,-42.8132762348838,-20.4046261984594,"Solo"
"35",174.288828581244,128.747838902572,142.486360221663,-42.8132760908838,-20.4046261984594,"Solo"
"36",173.432976505984,126.325202770751,146.026635498473,-42.8132759468838,-20.4046261984594,"Solo"
